input,output
-5.2308,5.2308
7.9313,7.9313
-5.8883,5.8883
-2.8037,2.8037
-0.513,0.513
-1.3363,1.3363
-4.5618,4.5618
-2.3988,2.3988
-8.1185,8.1185
7.6685,7.6685
-0.2613,0.2613
5.9529,5.9529
-5.691,5.691
9.9786,9.9786
-5.8209,5.8209
2.9632,2.9632
4.5816,4.5816
-4.7241,4.7241
1.5565,1.5565
-1.3879,1.3879
5.1258,5.1258
8.971,8.971
-5.1194,5.1194
-7.8799,7.8799
2.484,2.484
-9.0052,9.0052
8.5361,8.5361
-5.9051,5.9051
2.9766,2.9766
7.3296,7.3296
1.9745,1.9745
-6.9374,6.9374
1.2816,1.2816
1.3801,1.3801
3.5415,3.5415
-6.9418,6.9418
8.2348,8.2348
1.2792,1.2792
2.1341,2.1341
-5.5411,5.5411
-2.1762,2.1762
-8.9554,8.9554
4.2788,4.2788
7.2086,7.2086
3.9178,3.9178
-2.8605,2.8605
-3.4113,3.4113
3.2081,3.2081
4.6019,4.6019
8.9006,8.9006
-9.0253,9.0253
2.5524,2.5524
2.9039,2.9039
-3.1638,3.1638
3.2064,3.2064
-4.0989,4.0989
3.4524,3.4524
4.1369,4.1369
4.0374,4.0374
4.8735,4.8735
-9.1139,9.1139
-3.8559,3.8559
6.3662,6.3662
8.0762,8.0762
-4.8904,4.8904
9.8126,9.8126
-9.967,9.967
2.787,2.787
-0.1243,0.1243
-9.5607,9.5607
-0.4331,0.4331
-7.0471,7.0471
5.8455,5.8455
-2.6447,2.6447
-0.5312,0.5312
-9.167,9.167
-0.0285,0.0285
-8.3126,8.3126
-0.602,0.602
6.4785,6.4785
5.0356,5.0356
-1.5259,1.5259
-4.8585,4.8585
8.6814,8.6814
7.2685,7.2685
-4.919,4.919
6.9354,6.9354
6.9573,6.9573
-3.7702,3.7702
-2.1939,2.1939
-1.6434,1.6434
-7.7648,7.7648
-1.4733,1.4733
7.9877,7.9877
-6.585,6.585
5.4594,5.4594
4.6072,4.6072
5.295,5.295
-4.5535,4.5535
-5.9093,5.9093
