input,output
5.92500266,14.16576111
-9.85006951,18.12855004
7.4107105,17.7464473
5.29530783,15.02751691
-1.05038372,3.92133299
9.87823587,17.88767083
1.17731219,5.35991642
-3.71968128,12.3859921
-5.92294083,14.17771371
2.54228454,10.30880749
-7.22414975,16.82704066
1.55445107,7.67256498
9.29039997,18.82091915
-5.21574277,14.43330023
-7.02641668,15.13115153
-9.11257651,17.34743094
0.43983166,4.00765184
-7.09796848,15.61957483
-8.92548027,16.92174924
2.16680154,8.10423336
3.67043805,12.50022678
-3.9649307,11.01510385
1.58325683,7.72606844
3.37451585,12.04003531
7.3104118,17.39284928
-2.20694836,8.54912012
9.97684374,17.30929932
-6.75262232,16.5195829
7.7894035,17.22894871
3.44907368,12.29786745
-5.7124276,15.54632929
6.97712683,15.0733272
8.59260452,18.69797708
-6.78109348,16.35137039
7.94135389,16.09090613
-4.80397777,13.67180207
-8.59737736,18.6940279
-5.45311292,15.61406244
-2.50357146,10.22835827
-5.36263055,15.35341076
5.95933729,14.01374727
-6.87260942,15.65254265
-6.24573014,15.95610234
-4.37757865,13.89784261
1.85574633,7.06683407
0.45856269,4.0904451
-7.20885599,16.69681716
4.83330146,13.46282289
-5.3253833,15.19052501
-2.27204968,9.15082091
-2.07899986,7.1127841
2.66861023,10.37691541
-6.72621346,16.6470964
4.51477947,14.24142078
8.16198124,17.11814535
8.09149496,16.43892145
5.21522193,14.42860295
4.37738326,13.89710024
3.22785053,11.08220869
-4.52702317,14.25750953
-7.79852416,17.16421153
9.27493953,18.73367659
9.1353237,17.56620337
0.23539218,2.54204407
-3.12595944,9.99564493
7.10382956,15.67405659
2.53608685,10.29748747
-7.95640712,16.02617542
-1.39050251,7.11202067
-6.90233075,15.42413945
-7.90254036,16.33423926
-3.2144277,10.95468417
3.32065577,11.773039
1.17813502,5.3697214
2.25564207,9.01492285
-0.09153548,0.76676492
-0.84784798,4.05740238
9.56034943,19.36783606
6.40740234,16.73209176
6.3922665,16.6902987
-6.56542259,16.93866278
-2.23358144,8.8153072
3.1191415,9.91991468
-3.70671739,12.42437558
-8.54695995,18.71464017
-9.24479024,18.53699065
-9.17228485,17.92568443
8.28280807,18.08749815
-3.08954952,9.6069456
