input0,input1,input2,expected
8.6943,5.4827,5.9383,5.9383
-2.9154,8.6993,-3.2804,8.6993
-2.6664,-8.2996,-0.655,-2.6664
8.9221,-0.1248,5.7645,5.7645
1.4283,7.8999,6.841,7.8999
-4.4187,6.4362,-6.7866,6.4362
-6.8599,8.5113,-9.7618,8.5113
-8.0836,2.2854,8.9095,2.2854
1.0575,-3.9849,6.7509,1.0575
1.5631,3.1744,5.3818,3.1744
-4.9135,5.3863,0.3131,5.3863
-3.8965,7.9112,1.8139,7.9112
-8.4325,-9.0511,-0.3967,-8.4325
3.0676,5.1769,-9.8758,5.1769
9.6269,-2.9776,-4.2851,-2.9776
-5.4208,-6.3015,-3.4341,-5.4208
7.4335,7.3511,1.6492,7.3511
5.18,1.8069,-7.5764,1.8069
2.7142,5.2663,-6.321,5.2663
-1.4852,8.7871,6.7021,8.7871
-8.6259,-2.3491,7.7584,-2.3491
5.4369,9.8606,-3.5299,9.8606
-4.4611,-6.9481,9.2218,-4.4611
-6.0775,1.6149,5.517,1.6149
-0.6287,-8.1838,5.6639,-0.6287
-7.0809,-5.6531,-0.5521,-5.6531
5.6846,-8.9996,-3.8931,-3.8931
0.1333,-4.5995,-2.9058,-2.9058
6.2691,9.1458,0.3635,9.1458
6.4425,-8.9735,-0.4573,-0.4573
-4.6178,7.092,8.6204,7.092
5.5677,3.7869,-5.5272,3.7869
-8.2162,0.7393,8.7826,0.7393
-2.2578,1.646,4.3765,1.646
-1.3237,5.1911,5.3114,5.1911
1.2408,-9.0593,-7.6433,-7.6433
-1.3172,-0.0668,4.4935,-0.0668
7.374,4.7399,5.5691,5.5691
-8.1098,3.6319,-3.4239,3.6319
-9.1002,9.7367,7.2794,9.7367
-7.3413,0.224,-9.4248,0.224
1.4989,-3.3574,-5.6789,-3.3574
-5.0453,7.9376,4.5416,7.9376
5.594,-3.2639,2.2046,2.2046
-1.858,1.0496,5.2515,1.0496
2.898,-8.8374,5.5446,2.898
-6.3267,5.6357,8.7798,5.6357
-4.1213,5.8318,-4.7578,5.8318
6.9208,-4.8083,-9.7547,-4.8083
0.4705,9.0341,-9.1413,9.0341
0.4273,2.915,-7.3875,2.915
-0.8984,5.0941,-3.3731,5.0941
-8.129,7.8562,9.3442,7.8562
-5.7843,4.7599,2.1823,4.7599
5.5136,-6.9569,-8.3032,-6.9569
-8.4973,7.5897,3.4005,7.5897
-8.3857,-1.6499,5.9795,-1.6499
-9.4111,9.2442,-3.6647,9.2442
-8.4052,5.3242,-6.3404,5.3242
-3.2042,-2.7837,-1.7024,-2.7837
1.9712,0.835,-1.7297,0.835
-4.6701,5.4389,2.7934,5.4389
-7.5911,-3.5964,1.367,-3.5964
-2.9651,0.0911,-3.7403,0.0911
0.9048,7.238,-9.5607,7.238
-8.7762,-8.0516,-7.2565,-8.0516
-2.3499,-8.1291,-4.9583,-4.9583
-3.4135,8.1674,3.4109,8.1674
1.2825,-1.6782,1.9299,1.2825
-1.3328,-6.3392,-5.1028,-5.1028
-0.5982,0.1597,-5.0613,0.1597
-4.6861,-6.8004,-1.1385,-4.6861
-4.5704,-8.6199,4.288,-4.5704
-2.215,-9.3312,1.9215,-2.215
-6.3604,1.1178,1.8482,1.1178
-2.4403,1.6259,5.0998,1.6259
8.6133,-3.4436,0.9602,0.9602
-2.9471,8.207,9.9017,8.207
0.1047,-1.7011,-6.6647,-1.7011
-2.7242,-7.32,-4.3488,-4.3488
4.9194,0.7188,6.2399,4.9194
-5.1854,-4.7419,7.0431,-4.7419
-1.5868,-6.5623,-7.6259,-6.5623
-8.8506,6.0153,4.8614,6.0153
-5.9967,8.0862,-0.1172,8.0862
0.3131,9.6354,2.8816,9.6354
7.9865,5.8035,5.2812,5.8035
-4.7286,-9.1209,8.9755,-4.7286
-4.6345,-0.879,-7.8665,-0.879
2.2588,-0.6303,-1.8427,-0.6303
-5.9992,9.0035,-3.7339,9.0035
1.2713,2.7397,0.4234,2.7397
5.6164,-8.8396,1.5702,1.5702
9.6046,-9.8487,8.6876,8.6876
1.008,-8.0262,-3.829,-3.829
-4.3544,-7.9551,9.2956,-4.3544
-3.7183,3.9565,-1.9704,3.9565
-7.7571,-5.0045,-8.1182,-5.0045
4.2484,-3.8438,-0.6293,-0.6293
-7.1445,5.148,-7.7996,5.148
