input0,input1,expected
6.876,1.529,6.876
-9.4641,-5.8082,-5.8082
-0.9774,-1.6543,-0.9774
-5.9392,-9.9642,-5.9392
-2.4019,-4.6813,-2.4019
5.8462,7.439,7.439
2.7937,-9.1817,2.7937
-1.1301,-5.2975,-1.1301
5.1173,7.0916,7.0916
-3.3819,4.8925,4.8925
-1.5766,-3.273,-1.5766
-8.8252,2.2251,2.2251
2.6375,-3.6277,2.6375
4.4767,-9.1381,4.4767
-4.866,3.2382,3.2382
-0.1399,8.9684,8.9684
-5.6494,-5.226,-5.226
-1.7397,-9.5805,-1.7397
5.7405,-8.1518,5.7405
0.3125,-1.4811,0.3125
-2.3319,-6.8276,-2.3319
0.3308,1.0855,1.0855
3.7899,6.0351,6.0351
5.2152,0.1014,5.2152
-3.8556,-9.0462,-3.8556
5.5293,8.8263,8.8263
-9.9487,-5.7016,-5.7016
2.5284,-3.7589,2.5284
4.1321,-1.9848,4.1321
-4.6574,5.9235,5.9235
0.7363,-0.3171,0.7363
-0.0587,-9.3034,-0.0587
-8.0447,-8.58,-8.0447
-6.1874,-2.246,-2.246
-7.9347,0.8774,0.8774
9.4618,-8.6284,9.4618
0.1524,5.8416,5.8416
5.4582,-9.343,5.4582
-1.5292,-2.1751,-1.5292
2.7803,9.9178,9.9178
1.2271,0.1095,1.2271
1.2219,-2.6679,1.2219
7.3295,3.0947,7.3295
-2.5284,2.5831,2.5831
-8.5101,4.9094,4.9094
7.4611,9.1808,9.1808
3.0723,1.519,3.0723
-6.0655,5.6696,5.6696
6.5465,-9.4931,6.5465
5.08,-8.2136,5.08
8.3202,9.304,9.304
-7.0231,-7.7583,-7.0231
-8.8442,7.9567,7.9567
2.9676,-9.7412,2.9676
1.5568,0.0408,1.5568
-2.4728,7.3752,7.3752
9.4809,8.0754,9.4809
-0.1188,5.1479,5.1479
-0.6493,-3.9671,-0.6493
8.6586,7.5998,8.6586
8.7464,-5.8112,8.7464
1.168,-4.5372,1.168
0.9598,0.1855,0.9598
-1.1915,-5.6153,-1.1915
-5.4266,9.9858,9.9858
3.9219,8.7884,8.7884
-6.135,8.0553,8.0553
-2.328,8.4474,8.4474
1.2927,3.6856,3.6856
-4.016,7.4546,7.4546
-7.5461,-9.7772,-7.5461
-2.0416,-0.9375,-0.9375
-1.0683,-1.1351,-1.0683
7.0684,1.9885,7.0684
3.1409,-1.6391,3.1409
-2.8354,6.3803,6.3803
-8.3028,-8.8382,-8.3028
-0.9227,8.4039,8.4039
5.1667,-4.0416,5.1667
-7.9514,-8.0776,-7.9514
-5.1733,9.5081,9.5081
-1.4894,4.6273,4.6273
-3.2887,-1.8691,-1.8691
-1.5215,3.3286,3.3286
-5.0053,-6.3221,-5.0053
0.5476,9.2167,9.2167
-8.2433,0.92,0.92
-5.6205,9.6125,9.6125
-1.4555,-8.4575,-1.4555
-8.0006,5.089,5.089
2.9305,9.9641,9.9641
-3.5619,9.2402,9.2402
-7.7612,2.6104,2.6104
-2.7761,-5.1408,-2.7761
-5.7805,-3.612,-3.612
1.4943,3.1613,3.1613
7.8516,5.1605,7.8516
7.7897,8.1534,8.1534
-2.3336,-1.7429,-1.7429
9.3065,-7.2361,9.3065
