input,output
1.90409209,4.80818418
8.53826659,0.77506707
8.34677899,0.88125006
-9.67233114,0.24503247
-2.33687593,-0.72063427
4.03198126,5.62162167
7.62761018,0.97497403
9.71421599,-0.28535326
1.60588639,4.21177278
2.64824507,2.5791184
-2.41048417,-0.66769524
-1.76845707,-7.29920118
4.92809906,7.860088
8.96854923,0.44069306
-3.96924052,0.73634193
-8.68295162,-0.67563548
-2.83489678,-0.30191035
5.65300888,-0.58578036
7.70888996,0.98994147
8.76177056,0.61564651
-4.88767459,0.98467677
-3.4647175,0.31753123
9.81316209,-0.37863866
-8.51686612,-0.78822042
9.0553822,0.36116878
-3.26505078,0.12314474
4.31929838,6.31953514
9.88233478,-0.4417065
0.37513636,1.75027273
2.78045723,2.84333833
-8.00289187,-0.98893334
5.84933239,-0.41748805
3.05608765,3.41406416
-0.45761748,-0.55344887
-7.82377381,-0.99954378
-5.25987989,0.85383331
-5.39415804,0.77645913
6.9261019,0.6005141
-2.12808928,-0.84868995
-6.12380386,0.15870752
6.07663884,-0.20278512
-0.38040321,-0.43545006
5.00321588,-0.95129078
-4.18998893,0.86662414
-7.33369787,-0.86767815
-2.000752,-0.90898423
4.12366945,5.84218151
2.85498713,2.99507374
9.30207108,0.12249041
-5.63523124,0.6035564
4.90427181,7.79831508
-3.62250754,0.46259048
-4.07037022,0.80088853
0.04270057,1.08540115
2.61872666,2.52101724
4.7070395,7.29148263
9.49956459,-0.07464205
-4.79909323,0.99624354
-8.24349747,-0.92509303
-6.33710914,-0.0538977
-0.54742251,-0.71146939
1.45488619,3.90977238
-0.56553326,-0.74640655
6.51385677,0.230114
-2.79141987,-0.34306011
6.40595866,0.12411684
-6.77214178,-0.46970489
-0.81526375,-1.35713286
9.87418761,-0.4343824
4.13508118,5.86977651
4.42518754,6.58163746
-6.07980751,0.20197866
-8.97700855,-0.43295593
7.66209928,0.98211731
8.48951529,0.80496064
-5.28284907,0.84165261
4.71072229,7.30087172
8.29172727,0.90596017
-2.37869237,-0.69102077
5.25893699,-0.84912292
2.5733921,2.43243433
6.00602673,-0.27115991
-3.33077126,0.18805222
8.27088659,0.91460246
-1.67636797,-6.3873133
2.1136285,1.58185255
-9.50725203,0.08238061
9.46673198,-0.04186433
4.31486627,6.3086207
7.46948888,0.92755903
-2.79819644,-0.33668696
-7.13012337,-0.74925606
1.23809603,3.47619206
8.34707322,0.88111075
-7.80952777,-0.99901209
6.23980447,-0.04141699
5.15028211,-0.89984928
-5.22107827,0.87338362
9.8009108,-0.36727101
8.4898686,0.80475079
9.26882299,0.15541787
-9.59982065,0.17415018
8.75457421,0.62130342
8.54440848,0.77116887
3.45062283,4.27378529
4.12311871,5.84085056
0.52654097,2.05308195
8.63585754,0.70977063
-6.80294277,-0.49666965
1.74559123,4.49118246
-9.87575777,0.43584759
3.40880896,4.18043702
