input,output
-2.4789583403,8.8535938848
-8.8248562679,133.2816074943
6.2183543503,99.9909247015
-2.4375594431,8.5707137483
4.1670014057,51.2288056469
-7.6454601654,97.969741786
4.4585419941,57.1328194088
-0.8599350384,2.8991714253
2.816036477,28.3082323106
1.6360805051,14.2617603536
-5.1018343252,40.7519239875
-2.1543666857,6.8194915761
-0.0540948812,3.8435678687
-3.8998464361,22.7180651422
0.5686069316,6.3524484802
7.4382798306,136.9708531695
-1.0212853851,3.0221915203
-2.7994896629,11.2758157569
-9.779308853,165.9318367257
0.1006673096,4.3222697433
-1.6414129138,4.4642339659
-2.7389272649,10.7866633305
-0.9182058909,2.9315864434
0.7678063701,7.4824723543
-2.8301794213,11.5292928496
2.6585239533,26.1110710808
-8.0862363232,110.5157267804
3.4195580561,37.6454287659
-8.3344061498,117.921433289
-4.4749911182,30.6261176612
6.9099417474,120.2244151462
-4.1825999669,26.4404850653
-8.6200981823,126.751890798
5.7491763795,87.3535872225
-1.350425654,3.596021932
2.4173159651,22.9387808456
-1.9521371797,5.7652675975
1.8368577756,16.2586663025
-0.9606383216,2.9637370051
6.6799913498,113.2845429156
2.623494413,25.635929109
-5.5714338022,49.3674478179
4.8666493259,65.9684992997
-8.8818455974,135.1288256393
9.34918079,206.8619052597
3.15398753,33.3572372684
5.5678660555,82.7058629916
8.501775811,174.0657113149
2.2720580223,21.1406693804
-7.2251982422,86.7313845528
3.6771379412,42.0741007016
-1.434046402,3.8108389602
1.4178735935,12.274351835
-5.274073171,43.8094761131
-1.0034993014,3.0035237916
0.1162118738,4.3756460207
8.4536971361,172.2910819455
-6.1149822593,60.4410692861
2.2029875059,20.3152704205
-8.273113103,116.0694615199
-8.3591707743,118.6739597459
0.7506256921,7.3787549353
5.9600449237,92.9244057573
8.3816774222,169.6500650864
-7.8785011098,104.5060561438
-0.0227851152,3.9326829773
-0.5325569194,2.9695629866
7.6117559673,142.7129257123
-1.3441145576,3.5809442152
-4.5555694313,31.8397173927
-9.9396097158,171.7728534562
-3.3407428555,16.298897087
0.7866647643,7.5976771957
8.6493443815,179.5703496045
-0.9001979959,2.9201188759
-1.7755840089,4.9786451187
-7.5145581721,94.3934945269
-9.2380106432,146.9676493566
-4.7302359566,34.5595565405
-8.6441440463,127.5100204482
2.9309939081,29.9744323023
8.0021054676,156.0737002325
-1.1759724393,3.2379050381
1.1379711494,10.0038701221
6.2162482713,99.9322299546
4.2601964139,53.079136211
-5.5997809574,49.9157506704
6.3381629867,103.3591090513
4.4700888564,57.3736553368
8.6888412487,181.0584482374
8.3507114442,168.5208975799
-7.6989234477,99.4500741638
7.5284657937,139.9409917951
-7.0596319465,82.4979106006
7.5144226853,139.4763646423
-3.2150545552,15.0279879204
6.9997282103,122.9915746672
-2.6633691262,10.1969628263
2.7670512649,27.6142992003
-8.8043883314,132.6213427844
-5.3940159665,46.0087685944
-0.5829496882,2.9308116133
8.8067054525,185.5362382111
-1.3123649344,3.5075086389
3.4044930382,37.3946248097
-0.4289959854,3.0810871548
4.1959547614,51.7999370042
5.3193515882,76.5490574031
1.3947406443,12.0748248624
-4.9312806339,37.8412154785
-1.4882145684,3.964921498
-2.8850741506,11.9920832574
-3.2709979181,15.5858610064
9.7902710363,225.0696270366
-9.5772142921,158.7144243189
5.0430619184,69.99413278
-0.4800303463,3.0207672278
-0.3885591623,3.1362789583
4.3979413477,55.8776002395
-5.6244097708,50.3947412279
-2.3335098919,7.8900071557
-1.0433305999,3.0470856816
-7.8102308296,102.5687187338
-6.0091809519,58.1929685691
-4.4775517366,30.6642838974
0.1365306073,4.4468730352
6.7752669744,116.1342860731
-2.2023537992,7.0936631162
8.4405831765,171.8086382486
0.8701703944,8.1249042137
-6.4239912493,67.263353394
9.0991306573,196.88574941
8.6663081256,180.2087174339
3.9003262314,46.1260681172
6.4387078393,106.2300407963
